Station,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
02GA003,1,1,9,12,11,1,7,1,2,4
02GA005,1,1,1,1,8,2,5,3,2,2
02GA010,17,7,2,3,22,1,7,6,4,4
02GA014,1,8,40,12,22,1,7,1,2,4
02GA015,1,1,3,1,22,2,5,3,1,2
02GA016,1,1,2,12,11,1,7,1,1,2
02GA018,17,7,45,2,1,3,1,2,5,1
02GA023,1,1,37,1,8,2,9,3,2,2
02GA024,8,17,54,1,8,4,16,3,2,2
02GA028,8,7,40,4,12,1,1,1,2,4
02GA029,7,1,4,1,22,2,5,3,22,2
02GA030,1,5,5,3,22,2,16,3,2,2
02GA031,7,1,6,1,22,2,5,3,2,2
02GA039,1,1,7,1,8,2,5,3,2,2
02GA043,1,5,5,3,8,2,16,3,2,2
02GA047,1,1,8,1,22,2,5,3,1,2
02GB001,1,5,9,1,22,1,9,1,2,2
02GB006,8,5,10,1,22,2,16,3,2,2
02GB008,1,5,11,1,22,2,5,1,2,2
02GB010,1,17,12,1,8,2,5,3,1,2
02GC002,11,7,46,2,12,3,6,4,5,6
02GC006,1,5,15,1,22,2,5,3,2,2
02GC007,1,5,13,1,22,2,5,3,2,2
02GC008,1,5,47,1,22,2,5,3,3,2
02GC010,8,5,11,1,11,1,5,1,2,2
02GC011,1,5,14,1,22,2,5,3,2,2
02GC017,8,5,15,12,8,2,5,3,2,2
02GC018,7,5,11,10,22,1,7,6,4,4
02GC021,1,5,10,1,22,2,5,3,2,2
02GC022,7,5,16,1,8,2,5,3,22,2
02GC026,1,5,11,12,22,1,5,1,4,2
02GC029,8,5,17,3,8,2,5,3,22,2
02GC030,8,17,47,3,22,2,5,3,22,2
02GC031,8,5,47,3,22,2,5,3,1,2
02GD001,10,7,45,4,1,3,1,4,5,6
02GD003,1,5,18,3,8,2,5,3,2,2
02GD004,8,5,11,3,22,2,5,1,2,4
02GD009,1,17,19,1,8,2,5,3,1,2
02GD010,8,5,20,3,8,2,16,3,22,2
02GD011,8,5,21,12,22,2,5,3,2,2
02GD014,1,1,2,3,11,1,16,1,2,4
02GD015,8,1,11,3,11,2,16,1,2,2
02GD016,1,5,22,1,22,2,5,3,2,2
02GD018,8,1,54,3,22,2,16,3,2,2
02GD021,8,1,23,3,22,12,16,3,2,2
02GD027,8,5,24,3,8,2,5,3,22,2
02GD028,7,5,54,3,22,2,5,3,22,2
02GE002,18,2,25,5,10,7,2,5,6,3
02GE003,10,7,2,3,1,1,16,6,4,4
02GE005,1,5,26,10,8,2,5,3,22,2
02GE006,2,3,25,5,2,5,2,7,7,5
02GE007,10,7,2,4,12,1,5,3,2,4
02GE008,1,5,54,1,22,2,5,3,22,2
02GG002,10,7,45,4,1,3,1,4,5,6
02GG003,3,3,27,7,3,6,2,8,7,7
02GG005,4,2,28,6,4,7,2,9,8,3
02GG006,5,3,25,7,5,8,2,10,15,7
02GG009,6,4,29,8,6,9,3,11,9,8
02GG013,8,5,30,1,22,2,5,3,3,2
4159492,7,1,31,1,22,2,5,3,2,2
4159900,7,1,32,1,22,2,5,3,2,2
4160600,7,8,31,1,22,20,5,3,1,2
4161000,7,8,54,3,8,4,16,3,1,2
4161820,7,8,54,10,8,4,16,3,2,2
4163400,8,17,54,10,8,4,16,3,3,2
4164000,9,8,2,9,7,10,7,15,10,11
4164100,7,8,36,1,8,2,16,3,2,2
4164300,7,1,33,1,22,2,5,3,1,2
4164500,8,8,9,1,11,2,5,1,1,2
4165500,7,8,34,10,8,2,5,3,1,2
4166500,7,1,35,10,11,4,5,1,1,2
4167000,7,5,35,10,11,4,5,1,1,2
4168580,8,5,36,10,8,4,5,3,1,2
4172000,7,1,37,1,8,2,5,22,19,2
4173500,7,5,38,1,8,12,5,3,1,13
4174500,7,1,39,1,8,2,5,22,1,13
4174518,7,1,54,3,8,4,16,3,1,20
4175600,8,5,37,1,8,2,5,3,1,20
4176000,8,5,40,12,12,2,5,1,13,10
4176500,2,2,45,18,9,11,4,12,11,9
4177000,8,1,41,1,8,2,5,3,1,13
4177720,8,5,42,1,8,12,11,3,1,2
4178000,8,5,43,1,11,12,5,3,1,13
4179520,8,5,44,1,11,12,11,3,1,2
4180000,8,5,44,1,11,12,5,3,1,2
4180500,10,7,2,4,12,12,7,15,10,10
4180988,17,7,2,4,7,14,7,14,10,10
4181500,17,7,2,12,12,14,7,22,13,2
4182000,9,6,45,11,10,13,6,13,12,11
4182950,11,6,45,11,13,13,6,15,12,11
4183000,10,7,40,12,12,14,7,1,13,4
4184500,8,5,9,12,12,12,5,1,13,10
4185000,10,1,9,12,12,12,7,1,13,10
4185440,8,5,42,1,8,12,5,22,1,2
4186500,1,5,47,12,8,2,9,14,1,13
4188337,17,7,47,12,12,20,9,14,4,13
4188400,1,5,47,12,11,20,9,14,19,20
4188433,8,5,54,12,8,4,9,22,19,13
4188496,1,5,47,12,11,2,9,14,22,20
4189000,17,7,46,12,12,1,1,14,13,20
4191500,17,7,47,12,12,14,7,1,13,10
4192500,11,6,46,11,13,13,6,15,12,12
4193500,11,6,46,11,10,13,6,15,12,12
4195500,7,5,47,1,11,2,11,3,19,13
4195820,7,8,47,1,11,2,9,3,19,13
4196000,17,7,45,12,11,2,11,22,4,13
4196500,9,9,48,4,13,3,8,16,12,12
4196800,1,5,47,12,11,20,11,14,19,13
4197100,1,17,47,12,22,2,9,14,22,20
4197170,17,7,47,12,11,2,9,14,4,20
4198000,12,10,49,13,14,15,10,17,14,14
4199000,17,15,46,12,1,1,11,14,4,10
4199155,1,17,47,12,11,2,11,14,22,20
4199500,13,11,50,14,15,16,12,18,15,15
4200500,14,12,51,15,16,17,13,19,16,16
4201500,15,13,52,16,17,18,14,20,17,17
4202000,16,14,53,17,18,19,15,21,18,18
4206000,1,5,54,1,22,20,16,22,19,20
4207200,1,17,54,1,8,20,16,22,19,20
4208000,17,15,47,1,11,20,16,22,4,20
4208460,1,17,54,10,8,20,16,22,19,19
4208504,17,15,47,4,12,20,16,6,13,10
4209000,1,17,47,12,8,20,16,22,22,20
4212100,18,16,56,18,19,11,17,23,20,21
4213000,1,17,47,10,20,20,16,3,22,13
4213075,1,17,47,12,20,20,16,3,22,19
4213500,18,18,55,18,21,7,18,5,21,22
4215000,1,17,47,3,22,20,9,3,22,20
4215500,1,17,47,3,22,20,11,3,22,20
4216418,1,17,47,3,22,20,11,3,22,20
4217000,1,17,47,3,22,20,11,3,22,20
4218000,9,6,56,11,23,3,19,24,23,6
4218518,1,5,47,3,22,20,11,3,22,20
