Station,Station Name,Country,Watershed-Area,Latitude,Longitude,YR-MaxFlow-2015,Specific-YR-MaxFlow-2015,GM-MaxFlow-2015,Specific-GM-MaxFlow-2015,NGM-MaxFlow-2015,Specific-NGM-MaxFlow-2015,YR-MinFlow-2015,Specific-YR-MinFlow-2015,GM-MinFlow-2015,Specific-GM-MinFlow-2015,NGM-MinFlow-2015,Specific-NGM-MinFlow-2015,YR-MedianFlow-2015,Specific-YR-MedianFlow-2015,GM-MedianFlow-2015,Specific-GM-MedianFlow-2015,NGM-MedianFlow-2015,Specific-NGM-MedianFlow-2015,YR-Q95Flow-2015,Specific-YR-Q95-2015,GM-Q95Flow-2015,Specific-GM-Q95-2015,NGM-Q95Flow-2015,Specific-NGM-Q95-2015,YR-Q5Flow-2015,Specific-YR-Q5-2015,GM-Q5Flow-2015,Specific-GM-Q5-2015,NGM-Q5Flow-2015,Specific-NGM-Q5-2015,YR-BFI-2015,GM-BFI-2015,NGM-BFI-2015,YR-DOY-MaxFlow-2015,GM-DOY-MaxFlow-2015,NGM-DOY-MaxFlow-2015,YR-DOY-MinFlow-2015,GM-DOY-MinFlow-2015,NGM-DOY-MinFlow-2015,YR-RBI-2015,GM-RBI-2015,NGM-RBI-2015,YR-CVQ-2015,GM-CVQ-2015,NGM-CVQ-2015
4180988,St. Marys River at Rockford OH,US,761.9985,40.69477,-84.646625,207.48,177.3462504,207.48,177.3462504,113.96,97.40880423,0.3304,0.282413732,0.4732,0.404473905,0.3304,0.282413732,2.6768,2.288029898,2.6544,2.268883204,2.7104,2.316749938,65.016,55.57327848,103.152,88.17052451,35.042,29.95260897,0.5124,0.437980619,0.58856,0.503079377,35.042,29.95260897,0.402881934,0.416645418,0.174497979,169,169,364,63,272,63,0.29,0.3,0.28,2.003,1.8435,1.7261
4181500,"ST. MARYS RIVER AT DECATUR, IND.",US,1490.114,40.848103,-84.937744,330.4,96.9332369,330.4,96.9332369,158.48,46.49509499,0.26488,0.077710883,0.5236,0.153614536,0.26488,0.077710883,4.984,1.462213235,4.872,1.42935451,5.04,1.478642597,147.168,43.17636382,171.472,50.30670701,75.012,22.00713065,0.4788,0.140471047,0.99232,0.291128298,75.012,22.00713065,0.338360553,0.253127088,0.313082427,169,169,363,291,273,291,0.27,0.28,0.27,1.9199,1.6866,1.6869
4182000,"ST. MARYS RIVER NEAR FORT WAYNE, IND.",US,1849.108,40.987826,-85.111914,366.8,340.2098545,366.8,340.2098545,196.56,182.3109296,0.6916,0.641464382,0.9828,0.911554648,0.6916,0.641464382,7.616,7.063899268,6.86,6.362703385,8.988,8.336439945,178.192,165.2744667,235.032,217.994009,107.562,99.76459205,0.87696,0.813387225,1.25216,1.161388144,107.562,99.76459205,0.351874665,0.331871002,0.366229446,170,170,363,292,273,292,0.26,0.25,0.28,1.7674,1.6019,1.5521
4182950,"MAUMEE RIVER AT COLISEUM BLVD AT FORT WAYNE, IN",US,4869.313,41.079771,-85.08747,518,252.6158966,518,252.6158966,355.6,173.4173993,2.6432,1.289023818,3.696,1.80244856,2.6432,1.289023818,20.244,9.872502338,23.24,11.33357806,16.898,8.240740195,287.84,140.372509,413.28,201.5465208,168.126,81.99092709,4.2952,2.094663705,5.712,2.785602319,168.126,81.99092709,0.323399794,0.396876195,0.401472858,179,179,363,300,259,300,0.23,0.23,0.24,1.5858,1.4086,1.4657
4183000,"MAUMEE RIVER AT NEW HAVEN, IND.",US,5039.881,41.085049,-85.02219,565.6,73.53555906,565.6,73.53555906,369.6,48.05293959,3.528,0.458687151,5.264,0.684390352,3.528,0.458687151,21.644,2.814009265,24.052,3.127081447,18.27,2.375344173,308.56,40.11692381,437.36,56.86264518,177.156,23.03264763,5.292,0.688030726,7.4648,0.970523765,177.156,23.03264763,0.316453977,0.235295124,0.369760042,179,179,364,300,259,300,0.23,0.23,0.24,1.5991,1.4199,1.4615
4184500,BEAN C AT POWERS OH,US,534.7152,41.677551,-84.23217,104.44,67.29972262,104.44,67.29972262,44.52,28.68808551,0.6048,0.389724935,0.658,0.424006295,0.6048,0.389724935,1.4644,0.943639542,2.0552,1.324343067,1.2488,0.80470982,18.3008,11.79278786,27.636,17.8082644,10.9452,7.052938759,0.66136,0.426171434,0.68096,0.438801409,10.9452,7.052938759,0.404914122,0.413123703,0.416914509,179,179,72,290,260,290,0.3,0.34,0.25,2.1523,2.0847,1.7853
4185000,Tiffin River at Stryker OH,US,1064.001,41.504496,-84.429672,142.52,97.18716753,142.52,97.18716753,51.8,35.32343024,0.6692,0.456340531,0.7812,0.532715516,0.6692,0.456340531,2.0776,1.416755959,2.828,1.928468354,1.8228,1.24300287,35.168,23.98174507,41.104,28.02961924,22.7766,15.53180775,0.76944,0.524696142,0.86408,0.589233004,22.7766,15.53180775,0.337385862,0.158541245,0.436503547,180,180,74,284,261,284,0.24,0.26,0.2,2.0769,1.9027,1.6319
4185440,Unnamed Tributary to Lost Creek near Farmers OH,US,11.0475,41.361717,-84.691067,7.28,6.317656735,7.28,6.317656735,1.3944,1.210074252,0.00196,0.001700908,0.00196,0.001700908,0.00224,0.001943894,0.01512,0.013121287,0.01848,0.016037129,0.0133,0.011541873,0.49,0.425226896,0.59808,0.519019799,0.44226,0.383797647,0.00308,0.002672855,0.0028,0.002429868,0.44226,0.383797647,0.39150887,0.291847395,0.408900435,178,178,363,269,269,274,1,1.26,0.64,4.1213,4.312,2.4357
4186500,Auglaize River near Fort Jennings OH,US,858.4164,40.948662,-84.266059,302.4,5.023990275,302.4,5.023990275,154,2.558513566,0.4508,0.007489467,0.4788,0.007954651,0.4508,0.007489467,2.3436,0.038935925,3.108,0.051635456,2.0496,0.03405149,85.008,1.412299488,133.672,2.220789775,54.446,0.904550842,0.5292,0.008791983,0.602,0.010001462,54.446,0.904550842,0.42373475,0.435088669,0.403578238,168,168,363,274,273,274,0.48,0.48,0.48,2.3154,2.0859,2.1475
4188337,Blanchard River below Mt. Blanchard OH,US,369.3456,40.924499,-83.557151,124.88,65.34906146,124.88,65.34906146,61.04,31.94191793,0.02128,0.011135715,0.05348,0.027985809,0.02128,0.011135715,0.462,0.241762223,0.4312,0.225644741,0.546,0.285718991,30.2344,15.82150596,32.816,17.17244395,23.1462,12.11228737,0.057456,0.030066429,0.087808,0.045949475,23.1462,12.11228737,0.390120608,0.457300134,0.393355365,168,168,363,286,271,286,0.61,0.65,0.58,2.8303,3.0022,2.5472
4188400,Blanchard River above Findlay OH,US,606.7548,41.033943,-83.579374,135.8,30.18993668,135.8,30.18993668,110.32,24.5254331,0.10388,0.023093745,0.22904,0.050918285,0.10388,0.023093745,0.672,0.149393501,0.8792,0.195456497,0.5054,0.112356362,36.12,8.029900684,42.504,9.449138945,35.658,7.927192652,0.17136,0.038095343,0.28672,0.063741227,35.658,7.927192652,0.387957037,0.478376862,0.359925045,168,168,363,342,271,342,0.53,0.54,0.53,2.596,2.3985,2.7388
4188433,Lye Creek above Findlay OH,US,48.3822,40.982554,-83.585763,14.868,3.329127806,14.868,3.329127806,10.668,2.388696223,0.00028,6.27E-05,0.00504,0.001128518,0.00028,6.27E-05,0.0546,0.012225611,0.05656,0.012664479,0.05236,0.011724047,4.144,0.927892496,5.2808,1.182435978,3.4272,0.767392172,0.002016,0.000451407,0.0084,0.001880863,3.4272,0.767392172,0.284486737,0.379344625,0.226184754,167,167,363,294,234,294,0.71,0.79,0.62,2.9766,2.9096,2.8747
4188496,Eagle Creek above Findlay OH,US,134.7102,40.97922,-83.653265,55.44,27.72251608,55.44,27.72251608,34.16,17.08155031,0.00196,0.000980089,0.00812,0.004060369,0.00196,0.000980089,0.17556,0.087787968,0.13356,0.066786061,0.22148,0.110750052,10.9536,5.477297115,11.0936,5.547303469,10.6694,5.335184217,0.004256,0.002128193,0.015736,0.007868714,10.6694,5.335184217,0.331479432,0.393811841,0.324723982,167,167,363,300,273,300,0.72,0.81,0.63,2.9875,3.0921,2.7234
4189000,Blanchard River near Findlay OH,US,909.2952,41.055886,-83.687989,155.4,79.76315899,155.4,79.76315899,129.64,66.54115786,0.5152,0.264440023,0.5768,0.296057851,0.5152,0.264440023,1.6884,0.866615944,1.9264,0.988775737,1.3174,0.676190384,54.488,27.96740674,64.12,32.91128542,47.88,24.57567601,0.56896,0.292033764,0.74256,0.381138554,47.88,24.57567601,0.401272409,0.238997028,0.384187496,168,168,363,291,271,291,0.47,0.49,0.45,2.3013,2.1594,2.3813
4191500,Auglaize River near Defiance OH,US,6038.764,41.237549,-84.399114,1136.8,94.9637268,1136.8,94.9637268,739.2,61.7498125,1.7864,0.149228714,2.3772,0.198581783,1.7864,0.149228714,17.444,1.457202015,20.104,1.679407779,15.022,1.254877818,483.28,40.37127893,741.44,61.93693315,332.92,27.81080571,2.17504,0.181694145,2.4528,0.204897105,332.92,27.81080571,0.389968153,0.329719947,0.366601499,180,180,364,299,265,299,0.39,0.39,0.38,2.0361,1.8007,2.0362
4192500,Maumee River near Defiance OH,US,14248.29,41.291993,-84.281057,2175.6,283.5108844,2175.6,283.5108844,1276.8,166.3847661,5.46,0.711513803,9.212,1.200451493,5.46,0.711513803,46.76,6.093477181,56,7.297577462,42.42,5.527914928,888.16,115.7395786,1226.4,159.8169464,508.2,66.22551547,8.176,1.065446309,13.356,1.740472225,508.2,66.22551547,0.444474695,0.454229016,0.423724419,180,180,364,296,273,296,0.3,0.3,0.3,1.7601,1.5356,1.7445
4193500,Maumee River at Waterville OH,US,16409.35,41.500053,-83.712714,2634.8,400.8853359,2634.8,400.8853359,1274,193.8393495,4.172,0.634770617,10.556,1.606097467,4.172,0.634770617,57.12,8.690819185,67.76,10.30969727,44.52,6.773726718,1017.52,154.8158672,1340.64,203.9786385,614.88,93.5541124,8.7416,1.330036152,15.9152,2.421500796,614.88,93.5541124,0.425562919,0.436167038,0.381809068,180,180,364,296,258,296,0.29,0.3,0.29,1.7589,1.538,1.6976
4195500,Portage River at Woodville OH,US,1080.029,41.449496,-83.361316,299.6,32.98530513,299.6,32.98530513,133,14.64300929,0.27944,0.030765733,0.4144,0.045624534,0.27944,0.030765733,2.5088,0.276213396,2.94,0.323687574,2.2022,0.242457406,83.552,9.198892571,116.088,12.78103505,43.008,4.735086792,0.38136,0.041986902,0.6188,0.068128527,43.008,4.735086792,0.44750061,0.44572749,0.453109218,180,180,363,286,273,286,0.51,0.53,0.47,2.4959,2.2804,2.2487
4195820,Portage River near Elmore OH,US,1266.16,41.491162,-83.224645,308,48.89571461,308,48.89571461,162.4,25.78137679,0.4116,0.065342455,0.7196,0.11423817,0.4116,0.065342455,3.416,0.542297926,4.004,0.63564429,2.4164,0.383609106,104.104,16.52675154,138.992,22.06530248,54.026,8.576752849,0.59696,0.094768785,1.04496,0.165889824,54.026,8.576752849,0.38247766,0.419144961,0.370863023,180,180,364,288,273,288,0.47,0.48,0.46,2.3556,2.1317,2.2524
4196000,Sandusky River near Bucyrus OH,US,230.8833,40.803669,-83.005744,59.92,45.38927626,59.92,45.38927626,48.72,36.90529939,0.08204,0.062145131,0.08204,0.062145131,0.084,0.063629827,0.658,0.498433641,0.7084,0.536611537,0.5978,0.452832265,15.9264,12.06421511,17.164,13.00169455,13.328,10.09593248,0.09828,0.074446897,0.10696,0.081021979,13.328,10.09593248,0.421192159,0.318933574,0.425443364,167,167,73,271,271,290,0.7,0.77,0.64,2.5486,2.6485,2.4454
4196500,SANDUSKY R NR UPPER SANDUSKY OH,US,764.8281,40.850612,-83.256308,167.16,243.9407168,167.16,243.9407168,129.36,188.7782431,0.13412,0.195724629,0.13412,0.195724629,0.19404,0.283167365,1.6072,2.345426657,2.2036,3.215767908,1.2684,1.851007449,40.936,59.7389159,50.568,73.7951314,38.808,56.63347294,0.249088,0.363500271,0.205912,0.300492468,38.808,56.63347294,0.43498866,0.465312508,0.429839731,168,168,74,245,245,287,0.55,0.57,0.53,2.3907,2.3978,2.3679
4196800,Tymochtee Creek at Crawford OH,US,608.067,40.922833,-83.348812,125.16,18.93415242,125.16,18.93415242,80.92,12.24154374,0.0056,0.000847166,0.01428,0.002160272,0.0056,0.000847166,0.588,0.088952394,0.8036,0.121568272,0.483,0.073068038,38.976,5.89627297,45.472,6.878985131,36.47,5.517166338,0.013384,0.002024726,0.0476,0.007200908,36.47,5.517166338,0.289657114,0.299504005,0.311292696,168,168,363,279,271,279,0.42,0.42,0.43,2.5958,2.4607,2.6695
4197100,Honey Creek at Melmore OH,US,388.2105,41.022278,-83.109638,60.76,22.67803975,47.6,17.76620626,60.76,22.67803975,0.0546,0.020378884,0.07028,0.026231281,0.0546,0.020378884,0.5768,0.215284617,0.5628,0.210059262,0.6062,0.226257862,25.7768,9.620923225,26.5496,9.909362809,23.1224,8.630195958,0.079632,0.029721818,0.090328,0.033713989,23.1224,8.630195958,0.244378158,0.338133474,0.162003543,74,194,74,295,271,295,0.5,0.52,0.48,2.3479,2.2102,2.4372
4197170,Rock Creek at Tiffin OH,US,95.20831,41.113666,-83.168252,18.732,34.12241419,18.732,34.12241419,16.884,30.75607736,0.042,0.076507655,0.04984,0.090789084,0.042,0.076507655,0.12936,0.235643578,0.11872,0.216261639,0.14588,0.265736589,4.4184,8.04860532,4.2952,7.824182865,4.613,8.403090789,0.049616,0.090381043,0.053928,0.098235829,4.613,8.403090789,0.366542328,0.325559327,0.373453576,194,194,73,295,271,295,0.7,0.81,0.63,2.831,3.0568,2.6976
4198000,Sandusky River near Fremont OH,US,3243.828,41.307831,-83.158809,400.4,833.6861899,364,757.8965362,400.4,833.6861899,1.176,2.448588809,1.2796,2.664297824,1.176,2.448588809,7.532,15.68262833,6.72,13.99193605,8.162,16.99437233,239.008,497.6465256,238.112,495.7809342,208.264,433.6334182,1.33448,2.778565301,1.74272,3.628575417,208.264,433.6334182,0.36289946,0.38995007,0.392720563,74,169,74,287,273,287,0.39,0.43,0.36,2.0354,1.8952,2.1574
4199000,Huron River at Milan OH,US,947.3742,41.301719,-82.606844,241.36,75.90968559,101.08,31.79048318,241.36,75.90968559,0.574,0.180527675,0.574,0.180527675,0.574,0.180527675,1.9768,0.621719699,1.8564,0.583852918,2.2078,0.69437108,56.896,17.89425535,53.648,16.8727329,53.2,16.73183325,0.66136,0.208003106,0.71568,0.225087188,53.2,16.73183325,0.369241327,0.380340849,0.359954955,72,152,72,271,271,286,0.61,0.71,0.56,2.6208,2.2011,2.7442
4199155,Old Woman Creek at Berlin Rd near Huron OH,US,60.3603,41.34838,-82.51378,19.516,27.92408206,19.516,27.92408206,12.348,17.66789123,0.00336,0.004807589,0.00364,0.005208222,0.00336,0.004807589,0.17304,0.247590857,0.14588,0.208729509,0.19754,0.282646197,2.34024,3.348486053,2.23832,3.20265584,2.33856,3.346082258,0.00616,0.008813914,0.006496,0.009294673,2.33856,3.346082258,0.31107587,0.4029392,0.286127938,178,178,73,287,269,287,0.82,0.95,0.73,2.8645,3.3313,2.4902
4199500,VERMILION R NR VERMILION OH,US,672.3603,41.38199,-82.316827,156.52,1028.627677,75.32,494.9925671,156.52,1028.627677,0.08176,0.537315352,0.08176,0.537315352,0.08904,0.585158499,1.1816,7.765310904,0.9016,5.925189837,1.4098,9.265009574,34.664,227.8069881,24.5896,161.5994321,40.138,263.781355,0.116032,0.76254617,0.10556,0.693725642,40.138,263.781355,0.387190518,0.394724155,0.345079012,72,152,72,271,271,275,0.57,0.69,0.52,2.6528,2.3741,2.6337
4200500,Black River at Elyria OH,US,1026.93,41.380324,-82.104593,230.16,5445.72842,122.08,2888.488554,230.16,5445.72842,0.18144,4.292982988,0.19712,4.663981518,0.18144,4.292982988,2.1224,50.217301,1.3328,31.53487503,2.5984,61.47975637,50.064,1184.545306,32.648,772.4719389,57.876,1369.382073,0.235256,5.566302942,0.256536,6.069800947,57.876,1369.382073,0.386431154,0.457829903,0.381565068,74,152,74,287,272,287,0.58,0.72,0.52,2.6217,2.646,2.5184
4201500,Rocky River near Berea OH,US,690.6969,41.406715,-81.887082,242.2,4339.738124,220.92,3958.443214,242.2,4339.738124,0.434,7.776409356,0.434,7.776409356,0.7476,13.39549225,3.136,56.19082889,2.3184,41.54107707,3.598,64.46894208,41.72,747.5387058,29.3328,525.5849317,46.522,833.5809126,0.72912,13.06436772,0.52024,9.32165715,46.522,833.5809126,0.329887117,0.292930109,0.346505889,73,151,73,241,241,288,0.69,0.92,0.57,2.4824,2.7021,2.3526
4202000,Cuyahoga River at Hiram Rapids OH,US,390.1275,41.34061,-81.166766,44.8,2189.410064,40.04,1956.785245,44.8,2189.410064,1.022,49.94591709,1.022,49.94591709,1.0472,51.17746026,3.528,172.4160426,3.752,183.3630929,3.388,165.5741361,20.3056,992.3501117,23.0664,1127.272507,16.0286,783.3298696,1.18104,57.71832282,1.1284,55.145766,16.0286,783.3298696,0.471845332,0.449181373,0.407540182,75,180,75,251,251,287,0.16,0.17,0.15,1.1543,1.1077,1.1875
4206000,Cuyahoga River at Old Portage OH,US,1047.329,41.135611,-81.547062,105.28,11.94372122,82.6,9.370738721,105.28,11.94372122,1.8536,0.21028573,2.4304,0.275722075,1.8536,0.21028573,6.972,0.790953878,5.964,0.676599101,8.05,0.91324996,51.688,5.863858874,58.688,6.657989274,45.864,5.203142381,2.59952,0.294908265,2.81456,0.319303951,45.864,5.203142381,0.460741429,0.443291841,0.439470065,76,182,76,296,270,296,0.18,0.21,0.17,1.2101,1.1857,1.2307
4207200,Tinkers Creek at Bedford OH,US,222.1038,41.384499,-81.527342,35.56,2.56505038,35.56,2.56505038,34.16,2.464064145,0.5824,0.042010274,0.5852,0.042212246,0.5824,0.042010274,1.8424,0.132897886,1.4336,0.103409905,2.1112,0.152287243,17.0856,1.232436017,19.628,1.415827021,14.3864,1.037734555,0.65072,0.046938402,0.62944,0.045403411,14.3864,1.037734555,0.397658993,0.364725734,0.444896052,151,151,73,285,271,285,0.45,0.52,0.4,1.4818,1.585,1.363
4208000,Cuyahoga River at Independence OH,US,1837.508,41.395331,-81.629848,227.64,44.82858075,227.64,44.82858075,213.92,42.12673517,5.88,1.15793382,5.88,1.15793382,5.88,1.15793382,16.212,3.192588961,14.336,2.823152933,17.458,3.437960651,107.296,21.12953523,112.336,22.12204993,105.322,20.74080031,6.5856,1.296885878,6.6248,1.304605437,105.322,20.74080031,0.442767942,0.385825807,0.386061348,151,151,73,253,253,295,0.3,0.37,0.26,1.1684,1.2088,1.1358
4208460,Mill Creek at Garfield Hts OH,US,46.7658,41.42394,-81.63763,24.388,5.390779773,24.388,5.390779773,4.564,1.008837087,0.12908,0.028532141,0.13608,0.030079437,0.12908,0.028532141,0.294,0.064986438,0.27356,0.060468333,0.3038,0.067152653,1.60664,0.355135411,5.1184,1.131382942,1.42576,0.315153279,0.153328,0.033891975,0.157304,0.034770839,1.42576,0.315153279,0.395575483,0.360755269,0.467363983,178,178,361,353,251,353,0.73,0.92,0.44,2.6198,2.677,1.2125
4208504,Cuyahoga River near Newburgh Heights OH,US,2043.611,41.46255,-81.68096,235.2,63.34642577,235.2,63.34642577,218.4,58.82168107,8.624,2.322702278,10.976,2.956166536,8.624,2.322702278,21.028,5.663472113,19.04,5.128043991,22.75,6.127258445,110.264,29.6974077,112.84,30.39120189,108.57,29.24116261,11.5696,3.116040848,12.0512,3.245750196,108.57,29.24116261,0.460831103,0.486791926,0.465780366,151,151,73,294,244,294,0.29,0.34,0.24,0.9888,1.0069,0.9733
4209000,Chagrin River at Willoughby OH,US,637.3935,41.630881,-81.403445,145.88,15.6999391,145.88,15.6999391,105.56,11.36060852,1.2264,0.131987972,1.2264,0.131987972,2.464,0.265181313,4.648,0.500228386,3.892,0.418865938,4.984,0.536389474,37.016,3.983746544,56.504,6.081089656,33.082,3.56036047,1.66264,0.178937118,1.3412,0.14434301,33.082,3.56036047,0.405035506,0.348862522,0.428780809,151,151,4,251,251,354,0.6,0.79,0.43,1.7554,1.9569,1.4333
4212100,Grand River near Painesville OH,US,1784.892,41.718934,-81.227879,253.12,464.8789059,253.12,464.8789059,185.36,340.4312342,0.5264,0.966783565,0.5264,0.966783565,0.91,1.671301376,10.388,19.07854802,5.684,10.43920552,12.25,22.49828776,118.104,216.9092063,100.296,184.203124,119.728,219.8918365,0.73248,1.345269046,0.63168,1.160140278,119.728,219.8918365,0.326891286,0.277657534,0.331216716,179,179,75,253,253,286,0.33,0.42,0.28,1.5638,1.8708,1.3748
4213000,Conneaut Creek at Conneaut OH,US,455.2974,41.926999,-80.603966,83.72,6.328413262,79.8,6.032099597,83.72,6.328413262,0.12908,0.009757186,0.12908,0.009757186,0.24136,0.018244456,2.884,0.218002196,2.198,0.166147305,3.332,0.251866615,26.0064,1.965829511,24.22,1.830795141,26.5328,2.005620203,0.275184,0.020801219,0.212296,0.016047501,26.5328,2.005620203,0.365179354,0.339368435,0.167834666,362,152,362,250,250,286,0.49,0.62,0.43,1.7337,2.1942,1.4836
4213075,"Brandy Run near Girard, PA",US,11.6514,41.992,-80.291174,2.3464,3.68616875,1.6352,2.568881325,2.3464,3.68616875,0.02492,0.039149048,0.02492,0.039149048,0.03388,0.05322511,0.0812,0.127564312,0.0546,0.085776003,0.10556,0.165833606,0.45416,0.713480395,0.33096,0.519934542,0.52346,0.822349938,0.03024,0.047506709,0.027664,0.043459842,0.52346,0.822349938,0.431605421,0.418651126,0.416825542,361,190,361,250,250,275,0.55,0.69,0.5,1.5256,1.891,1.3366
4213500,CATTARAUGUS CR AT GOWANDA NY,US,1128.811,42.46395,-78.935035,232.4,612.1158911,134.68,354.7322212,232.4,612.1158911,3.332,8.776119403,3.332,8.776119403,4.844,12.75856014,11.676,30.75329236,10.08,26.54960492,12.782,33.66637401,64.232,169.1799824,47.208,124.3406497,73.752,194.2546093,4.3344,11.41633011,3.7632,9.911852502,73.752,194.2546093,0.460131841,0.411001345,0.465116215,93,196,93,270,270,281,0.37,0.43,0.34,1.206,1.1996,1.1579
4215000,CAYUGA CREEK NR LANCASTER NY,US,248.0184,42.890059,-78.645028,58.8,9.924102975,21.84,3.686095391,58.8,9.924102975,0.06608,0.011152801,0.06608,0.011152801,0.3416,0.057654313,1.316,0.222110876,0.7168,0.120979541,1.687,0.28472724,15.792,2.665330513,7.1848,1.212630868,19.95,3.367106367,0.163296,0.027560652,0.103488,0.017466421,19.95,3.367106367,0.417965445,0.429870812,0.39256721,93,152,93,252,252,281,0.57,0.79,0.5,1.7816,1.891,1.5495
4215500,CAZENOVIA CREEK AT EBENEZER NY,US,350.7246,42.829781,-78.775031,97.72,4.461145588,46.48,2.121920251,97.72,4.461145588,0.4312,0.019685284,0.4312,0.019685284,0.9408,0.042949711,3.304,0.150835295,2.1252,0.09702033,4.424,0.201965903,25.2224,1.151461303,17.4944,0.798660104,26.4222,1.206234967,0.68376,0.031215236,0.52304,0.023877994,26.4222,1.206234967,0.422477257,0.384631714,0.420760314,93,182,93,251,251,281,0.52,0.71,0.44,1.4197,1.5262,1.2868
4216418,TONAWANDA CREEK AT ATTICA NY,US,196.4727,42.863949,-78.283628,47.32,8.590019231,23.94,4.345838132,47.32,8.590019231,0.28,0.050828516,0.28,0.050828516,0.6692,0.121480154,1.6688,0.302937956,1.2544,0.227711752,1.9334,0.350970904,12.2808,2.229338719,9.6488,1.751550667,12.6028,2.287791512,0.47544,0.08630682,0.39424,0.071566551,12.6028,2.287791512,0.423556237,0.385428218,0.425935619,93,182,93,251,251,281,0.5,0.6,0.43,1.4176,1.4552,1.3495
4217000,TONAWANDA CREEK AT BATAVIA NY,US,443.268,42.99756,-78.188628,73.64,27.723729,27.048,10.1829362,73.64,27.723729,0.5768,0.217151642,0.5768,0.217151642,1.582,0.595585813,2.6908,1.013022949,2.1364,0.804304381,3.08,1.159547601,22.1592,8.34241792,16.5312,6.223608213,26.9318,10.13918963,0.88648,0.333738882,0.7196,0.270912485,26.9318,10.13918963,0.470281514,0.454085121,0.475884268,94,180,94,252,252,281,0.4,0.51,0.37,1.374,1.295,1.2905
4218000,TONAWANDA CREEK AT RAPIDS NY,US,896.9733,43.093113,-78.63614,86.24,270.4243018,31.92,100.0921117,86.24,270.4243018,0.966,3.029103381,0.966,3.029103381,2.7188,8.525389515,5.32,16.68201862,3.92,12.29201372,6.384,20.01842234,40.824,128.0125429,23.0104,72.15412053,50.4,158.0401764,1.32328,4.149432631,1.15248,3.613852033,50.4,158.0401764,0.440580098,0.472974023,0.437887814,96,153,96,249,249,281,0.24,0.33,0.21,1.2442,1.0833,1.129
4218518,ELLICOTT CREEK BELOW WILLIAMSVILLE NY,US,220.2912,42.977836,-78.763643,25.76,2.684052045,16.268,1.695037215,25.76,2.684052045,0.7112,0.074103176,0.7112,0.074103176,1.0444,0.108820806,1.694,0.176505596,1.6744,0.174463383,1.722,0.179423044,11.6312,1.211907847,5.0568,0.526891086,14.7364,1.535452816,0.83272,0.0867649,0.78568,0.081863587,14.7364,1.535452816,0.463521399,0.443013354,0.438712052,77,153,77,244,244,281,0.29,0.33,0.28,1.1935,0.9922,1.1522